"uv_GPS_Merge_val_ID","Collar_ID","Object_ID","PubName","GMT_date","LMT_date","Longitude","Latitude","Height","Locale_N","Locale_E","Locale_H","DOP","Nav","Sats_used","Validated","Main","Bkup","Temp","Valid_pos","Sex"
859619,"05570","W0626","Koski (5570)",1-8-2009 0:30:20,1-8-2009 1:30:20,14.69,61.48,491.66,6819002.43,1440799.94,459.23,2.40,"3D",5,"Yes",3.38,0.10,19.00,2,"F"
859620,"05570","W0626","Koski (5570)",1-8-2009 1:01:12,1-8-2009 2:01:12,14.69,61.48,495.91,6819009.38,1440792.82,463.48,3.80,"3D",4,"Yes",3.38,0.08,18.00,2,"F"
859621,"05570","W0626","Koski (5570)",1-8-2009 1:32:16,1-8-2009 2:32:16,14.69,61.48,488.88,6819001.35,1440794.83,456.45,6.20,"3D",4,"Yes",3.36,0.38,25.00,2,"F"
859622,"05570","W0626","Koski (5570)",1-8-2009 2:00:24,1-8-2009 3:00:24,14.69,61.48,485.11,6818995.71,1440794.94,452.68,3.20,"3D",4,"Yes",3.38,0.14,22.00,2,"F"
859623,"05570","W0626","Koski (5570)",1-8-2009 2:31:24,1-8-2009 3:31:24,14.69,61.48,474.40,6819002.86,1440794.95,441.97,3.60,"3D",4,"Yes",3.38,0.08,20.00,2,"F"
859624,"05570","W0626","Koski (5570)",1-8-2009 3:00:40,1-8-2009 4:00:40,14.69,61.48,456.20,6818988.04,1440802.90,423.77,3.20,"3D",4,"Yes",3.40,0.06,18.00,2,"F"
859625,"05570","W0626","Koski (5570)",1-8-2009 3:31:02,1-8-2009 4:31:02,14.69,61.48,483.00,6819090.16,1440765.73,450.57,3.80,"3D",4,"Yes",3.36,0.08,17.00,2,"F"
859626,"05570","W0626","Koski (5570)",1-8-2009 4:01:23,1-8-2009 5:01:23,14.68,61.48,481.92,6819059.46,1440472.79,449.48,3.20,"3D",4,"Yes",3.36,0.12,19.00,2,"F"
859627,"05570","W0626","Koski (5570)",1-8-2009 4:30:25,1-8-2009 5:30:25,14.68,61.48,490.37,6819071.75,1440437.41,457.93,3.20,"3D",6,"Yes",3.38,0.20,20.00,2,"F"
859628,"05570","W0626","Koski (5570)",1-8-2009 5:00:42,1-8-2009 6:00:42,14.68,61.48,486.20,6819101.05,1440397.47,453.76,4.40,"3D",5,"Yes",3.38,0.30,22.00,2,"F"
859629,"05570","W0626","Koski (5570)",1-8-2009 5:30:23,1-8-2009 6:30:23,14.68,61.48,485.11,6819050.62,1440401.69,452.67,3.20,"3D",6,"Yes",3.38,0.12,22.00,2,"F"
859630,"05570","W0626","Koski (5570)",1-8-2009 6:00:18,1-8-2009 7:00:18,14.68,61.48,478.27,6819048.50,1440404.09,445.83,4.00,"3D",5,"Yes",3.40,0.10,23.00,2,"F"
859631,"05570","W0626","Koski (5570)",1-8-2009 6:30:21,1-8-2009 7:30:21,14.68,61.48,487.17,6819036.09,1440417.53,454.73,2.40,"3D",6,"Yes",3.40,0.10,22.00,2,"F"
859632,"05570","W0626","Koski (5570)",1-8-2009 7:00:30,1-8-2009 8:00:30,14.68,61.47,513.90,6818742.07,1440402.37,481.46,2.00,"3D",5,"Yes",3.38,0.12,21.00,2,"F"
859633,"05570","W0626","Koski (5570)",1-8-2009 7:31:08,1-8-2009 8:31:08,14.69,61.47,480.84,6818818.95,1441057.77,448.42,3.80,"3D",5,"Yes",3.38,0.14,22.00,2,"F"
859634,"05570","W0626","Koski (5570)",1-8-2009 8:01:47,1-8-2009 9:01:47,14.70,61.48,474.31,6818868.30,1441327.25,441.90,4.40,"3D",5,"Yes",3.36,0.28,22.00,2,"F"
859635,"05570","W0626","Koski (5570)",1-8-2009 8:30:45,1-8-2009 9:30:45,14.70,61.47,473.06,6818384.40,1441344.20,440.66,3.60,"3D",6,"Yes",3.38,0.44,28.00,2,"F"
859636,"05570","W0626","Koski (5570)",1-8-2009 9:00:24,1-8-2009 10:00:24,14.70,61.47,484.90,6818350.14,1441338.35,452.50,3.60,"3D",5,"Yes",3.40,0.46,30.00,2,"F"
859637,"05570","W0626","Koski (5570)",1-8-2009 9:30:58,1-8-2009 10:30:58,14.70,61.47,516.66,6818274.43,1441243.92,484.26,2.60,"3D",5,"Yes",3.38,0.38,30.00,2,"F"
859638,"05570","W0626","Koski (5570)",1-8-2009 10:01:02,1-8-2009 11:01:02,14.70,61.47,493.13,6818294.97,1441228.12,460.72,4.40,"3D",5,"Yes",3.38,0.12,25.00,2,"F"
859639,"05570","W0626","Koski (5570)",1-8-2009 10:31:33,1-8-2009 11:31:33,14.70,61.47,515.69,6818285.20,1441208.31,483.28,4.80,"3D",5,"Yes",3.38,0.10,24.00,2,"F"
859640,"05570","W0626","Koski (5570)",1-8-2009 11:00:48,1-8-2009 12:00:48,14.70,61.47,506.63,6818242.47,1441252.82,474.23,2.80,"3D",5,"Yes",3.38,0.12,27.00,2,"F"
859641,"05570","W0626","Koski (5570)",1-8-2009 11:30:33,1-8-2009 12:30:33,14.72,61.45,508.55,6815498.46,1442641.81,476.22,11.80,"3D",4,"No",3.36,0.34,25.00,2,"F"
859642,"05570","W0626","Koski (5570)",1-8-2009 12:00:40,1-8-2009 13:00:40,14.75,61.43,510.36,6813836.68,1444018.45,478.10,7.40,"2D",3,"No",3.36,0.26,23.00,2,"F"
859643,"05570","W0626","Koski (5570)",1-8-2009 12:30:57,1-8-2009 13:30:57,14.78,61.42,590.71,6812898.43,1445609.55,558.53,7.60,"3D",5,"Yes",3.36,0.20,22.00,2,"F"
859644,"05570","W0626","Koski (5570)",1-8-2009 13:00:23,1-8-2009 14:00:23,14.81,61.43,500.39,6813215.67,1447185.33,468.28,7.00,"3D",5,"Yes",3.38,0.24,23.00,2,"F"
859645,"05570","W0626","Koski (5570)",1-8-2009 13:30:29,1-8-2009 14:30:29,14.84,61.43,490.24,6813929.65,1448655.40,458.19,5.60,"3D",5,"Yes",3.38,0.26,24.00,2,"F"
859646,"05570","W0626","Koski (5570)",1-8-2009 14:01:12,1-8-2009 15:01:12,14.85,61.44,530.25,6815179.21,1449304.33,498.22,4.40,"3D",5,"Yes",3.36,0.32,24.00,2,"F"
859647,"05570","W0626","Koski (5570)",1-8-2009 14:30:47,1-8-2009 15:30:47,14.86,61.44,535.53,6815349.79,1449714.59,503.51,2.20,"3D",5,"Yes",3.38,0.40,28.00,2,"F"
